Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun May 3 2020,All Day,JPY,Holiday,Bank Holiday,,,
,9:00pm,AUD,Low,MI Inflation Gauge m/m,-0.1%,,0.2%
,9:30pm,AUD,Low,ANZ Job Advertisements m/m,-53.1%,,-10.0%
,,AUD,Low,Building Approvals m/m,-4.0%,-15.0%,19.4%
Mon May 4 2020,3:15am,EUR,Low,Spanish Manufacturing PMI,30.8,35.0,45.7
,3:30am,CHF,Low,Manufacturing PMI,40.7,35.2,43.7
,3:45am,EUR,Low,Italian Manufacturing PMI,31.1,30.3,40.3
,3:50am,EUR,Low,French Final Manufacturing PMI,31.5,31.5,31.5
,3:55am,EUR,Low,German Final Manufacturing PMI,34.5,34.4,34.4
,4:00am,EUR,Low,Final Manufacturing PMI,33.4,33.6,33.6
,4:30am,EUR,Low,Sentix Investor Confidence,-41.8,-25.9,-42.9
,10:00am,USD,Low,Factory Orders m/m,-10.3%,-9.2%,-0.1%
,12:30pm,CAD,Medium,Gov Council Member Wilkins Speaks,,,
,2:00pm,USD,Low,Loan Officer Survey,,,
,6:30pm,AUD,Low,AIG Construction Index,21.6,,37.9
,6:45pm,NZD,Low,Building Consents m/m,-21.3%,,5.7%
,All Day,JPY,Holiday,Bank Holiday,,,
,9:00pm,NZD,Low,ANZ Commodity Prices m/m,-1.1%,,-2.0%
Tue May 5 2020,12:30am,AUD,High,Cash Rate,0.25%,0.25%,0.25%
,,AUD,High,RBA Rate Statement,,,
,1:45am,CHF,Low,SECO Consumer Climate,-39,-40,-40
,2:30am,CHF,Low,CPI m/m,-0.4%,-0.1%,0.1%
,2:45am,EUR,Low,French Gov Budget Balance,-52.5B,,-35.2B
,3:00am,EUR,Low,Spanish Unemployment Change,282.9K,500.0K,302.3K
,4:00am,EUR,Low,German Buba President Weidmann Speaks,,,
,4:11am,EUR,High,German Constitutional Court Ruling,,,
,4:30am,GBP,Medium,Final Services PMI,13.4,12.3,12.3
,5:00am,EUR,Low,PPI m/m,-1.5%,-1.3%,-0.7%
,8:30am,CAD,High,Trade Balance,-1.4B,-2.5B,-0.9B
,,USD,Low,Trade Balance,-44.4B,-41.0B,-39.8B
,9:45am,USD,Low,Final Services PMI,26.7,27.0,27.0
,10:00am,USD,High,ISM Services PMI,41.8,37.5,52.5
,10:01am,USD,Low,IBD/TIPP Economic Optimism,49.7,35.2,47.8
,10:51am,NZD,Low,GDT Price Index,-0.8%,,-4.2%
,6:45pm,NZD,High,Employment Change q/q,0.7%,-0.2%,0.1%
,,NZD,High,Unemployment Rate,4.2%,4.4%,4.0%
,,NZD,Low,Labor Cost Index q/q,0.3%,0.5%,0.6%
,All Day,JPY,Holiday,Bank Holiday,,,
,9:30pm,AUD,Low,Retail Sales m/m,8.5%,8.2%,8.2%
Wed May 6 2020,2:00am,EUR,Low,German Factory Orders m/m,-15.6%,-10.0%,-1.2%
,3:15am,EUR,Low,Spanish Services PMI,7.1,10.0,23.0
,3:45am,EUR,Low,Italian Services PMI,10.8,9.2,17.4
,3:50am,EUR,Low,French Final Services PMI,10.2,10.4,10.4
,3:55am,EUR,Low,German Final Services PMI,16.2,15.9,15.9
,4:00am,EUR,Low,Final Services PMI,12.0,11.7,11.7
,4:30am,GBP,Low,Construction PMI,8.2,21.5,39.3
,5:00am,EUR,High,EU Economic Forecasts,,,
,,EUR,Low,Retail Sales m/m,-11.2%,-11.2%,0.6%
,8:15am,USD,High,ADP Non-Farm Employment Change,-20236K,-20500K,-149K
,10:30am,USD,Low,Crude Oil Inventories,4.6M,8.5M,9.0M
,6:30pm,AUD,Low,AIG Services Index,27.1,,38.7
,7:50pm,JPY,Low,Monetary Base y/y,2.3%,4.5%,2.8%
,9:30pm,AUD,High,Trade Balance,10.60B,6.40B,3.87B
,9:45pm,CNY,Medium,Caixin Services PMI,44.4,50.1,43.0
,11:00pm,NZD,High,Inflation Expectations q/q,1.24%,,1.93%
,11:01pm,CNY,High,Trade Balance,318B,82B,139B
,11:02pm,CNY,Medium,USD-Denominated Trade Balance,45.3B,9.1B,19.9B
Thu May 7 2020,1:45am,CHF,Low,Unemployment Rate,3.3%,3.4%,2.9%
,2:00am,EUR,Low,German Industrial Production m/m,-9.2%,-7.3%,0.3%
,,GBP,High,BOE Monetary Policy Report,,,
,,GBP,High,MPC Official Bank Rate Votes,0-0-9,0-0-9,0-0-9
,,GBP,High,Monetary Policy Summary,,,
,,GBP,High,Official Bank Rate,0.10%,0.10%,0.10%
,,GBP,Low,Asset Purchase Facility,645B,645B,645B
,,GBP,Low,BOE Financial Stability Report,,,
,,GBP,Low,FPC Meeting Minutes,,,
,,GBP,Low,FPC Statement,,,
,,GBP,Low,MPC Asset Purchase Facility Votes,2-0-7,0-0-9,0-0-9
,2:45am,EUR,Low,French Industrial Production m/m,-16.2%,-12.7%,0.8%
,,EUR,Low,French Prelim Private Payrolls q/q,-2.3%,-0.3%,0.5%
,,EUR,Low,French Trade Balance,-3.3B,-4.6B,-5.0B
,3:00am,CHF,Low,Foreign Currency Reserves,800B,,763B
,3:30am,GBP,Low,Halifax HPI m/m,-0.6%,-0.3%,-0.3%
,4:00am,EUR,Low,German Buba President Weidmann Speaks,,,
,4:07am,EUR,Low,Italian Retail Sales m/m,-20.5%,-14.9%,0.9%
,5:00am,GBP,High,BOE Gov Bailey Speaks,,,
,5:04am,EUR,Low,French 10-y Bond Auction,0.03|2.0,,0.04|2.7
,7:30am,USD,Low,Challenger Job Cuts y/y,1576.9%,,266.9%
,8:30am,USD,High,Unemployment Claims,3169K,3000K,3846K
,,USD,Low,Prelim Nonfarm Productivity q/q,-2.5%,-5.4%,1.2%
,,USD,Low,Prelim Unit Labor Costs q/q,4.8%,4.3%,0.9%
,10:00am,CAD,Low,Ivey PMI,22.8,24.3,26.0
,,EUR,High,ECB President Lagarde Speaks,,,
,10:30am,USD,Low,Natural Gas Storage,109B,112B,70B
,3:00pm,USD,Low,Consumer Credit m/m,-12.0B,14.9B,19.9B
,4:00pm,USD,Low,FOMC Member Harker Speaks,,,
,7:01pm,GBP,Low,GfK Consumer Confidence,-33,-37,-34
,7:30pm,JPY,Low,Average Cash Earnings y/y,0.1%,0.1%,0.7%
,,JPY,Low,Household Spending y/y,-6.0%,-6.3%,-0.3%
,9:30pm,AUD,High,RBA Monetary Policy Statement,,,
Fri May 8 2020,2:00am,EUR,Low,German Trade Balance,12.8B,19.0B,21.4B
,All Day,EUR,Holiday,French Bank Holiday,,,
,All Day,GBP,Holiday,Bank Holiday,,,
,All Day,EUR,Medium,Eurogroup Meetings,,,
,7:00am,EUR,High,ECB President Lagarde Speaks,,,
,8:00am,USD,High,President Trump Speaks,,,
,8:17am,CAD,Low,Housing Starts,171K,107K,195K
,8:30am,CAD,High,Employment Change,-1993.8K,-4000.0K,-1010.7K
,,CAD,High,Unemployment Rate,13.0%,18.0%,7.8%
,,CAD,Low,Building Permits m/m,-13.2%,-20.1%,-8.4%
,,USD,High,Average Hourly Earnings m/m,4.7%,0.5%,0.5%
,,USD,High,Non-Farm Employment Change,-20537K,-22000K,-881K
,,USD,High,Unemployment Rate,14.7%,16.0%,4.4%
,10:00am,USD,Low,Final Wholesale Inventories m/m,-0.8%,-1.0%,-1.0%
Sat May 9 2020,,,No specified,,,,
