Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jul 31 2016,All Day,AUD,Holiday,Bank Holiday,,,
,7:30pm,AUD,Low,AIG Manufacturing Index,56.4,,51.8
,9:00pm,AUD,Low,HIA New Home Sales m/m,8.2%,,-4.4%
,,AUD,Low,MI Inflation Gauge m/m,-0.3%,,0.6%
,,CNY,High,Manufacturing PMI,49.9,50.1,50.0
,,CNY,Medium,Non-Manufacturing PMI,53.9,,53.7
,9:15pm,USD,Medium,FOMC Member Dudley Speaks,,,
,9:45pm,CNY,Medium,Caixin Manufacturing PMI,50.6,48.8,48.6
,10:00pm,JPY,Low,Final Manufacturing PMI,49.3,49.0,49.0
Mon Aug 1 2016,All Day,CHF,Holiday,Bank Holiday,,,
,3:15am,EUR,Medium,Spanish Manufacturing PMI,51.0,51.6,52.2
,3:45am,EUR,Low,Italian Manufacturing PMI,51.2,52.5,53.5
,3:50am,EUR,Low,French Final Manufacturing PMI,48.6,48.6,48.6
,3:55am,EUR,Low,German Final Manufacturing PMI,53.8,53.7,53.7
,4:00am,EUR,Low,Final Manufacturing PMI,52.0,51.9,51.9
,4:30am,GBP,High,Final Manufacturing PMI,48.2,49.1,49.1
,All Day,CAD,Holiday,Bank Holiday,,,
,9:45am,USD,Low,Final Manufacturing PMI,52.9,52.9,52.9
,10:00am,USD,High,ISM Manufacturing PMI,52.6,53.1,53.2
,,USD,Low,Construction Spending m/m,-0.6%,0.5%,-0.1%
,,USD,Low,ISM Manufacturing Prices,55.0,61.0,60.5
,2:00pm,USD,Low,Loan Officer Survey,,,
,7:50pm,JPY,Low,Monetary Base y/y,24.7%,24.3%,25.4%
,9:30pm,AUD,High,Building Approvals m/m,-2.9%,0.9%,-5.4%
,,AUD,High,Trade Balance,-3.20B,-2.00B,-2.42B
,11:00pm,NZD,High,Inflation Expectations q/q,1.65%,,1.64%
,11:45pm,JPY,Low,10-y Bond Auction,-0.05|3.2,,-0.24|3.6
Tue Aug 2 2016,12:30am,AUD,High,Cash Rate,1.50%,1.50%,1.75%
,,AUD,High,RBA Rate Statement,,,
,1:00am,JPY,Low,Consumer Confidence,41.3,42.2,41.8
,2:30am,AUD,Low,Commodity Prices y/y,-2.0%,,-10.0%
,3:00am,EUR,Medium,Spanish Unemployment Change,-84.0K,-70.0K,-124.3K
,3:15am,CHF,Low,Retail Sales y/y,-3.9%,-2.0%,-1.7%
,3:30am,CHF,Low,Manufacturing PMI,50.1,51.9,51.6
,4:30am,GBP,High,Construction PMI,45.9,44.2,46.0
,5:00am,EUR,Low,PPI m/m,0.7%,0.4%,0.6%
,8:30am,USD,Medium,Core PCE Price Index m/m,0.1%,0.1%,0.2%
,,USD,Medium,Personal Spending m/m,0.4%,0.3%,0.4%
,,USD,Low,Personal Income m/m,0.2%,0.3%,0.2%
,9:30am,CAD,Low,Manufacturing PMI,51.9,,51.8
,10:10am,NZD,High,GDT Price Index,6.6%,,0.0%
,All Day,USD,Low,Wards Total Vehicle Sales,17.8M,17.3M,17.0M
,All Day,USD,Low,Total Vehicle Sales,17.9M,17.1M,16.7M
,6:45pm,NZD,Low,Labor Cost Index q/q,0.4%,0.4%,0.4%
,7:01pm,GBP,Low,BRC Shop Price Index y/y,-1.6%,,-2.0%
,7:30pm,AUD,Low,AIG Services Index,53.9,,51.3
,7:50pm,JPY,Low,Monetary Policy Meeting Minutes,,,
,9:00pm,NZD,Low,ANZ Commodity Prices m/m,2.0%,,3.7%
,9:45pm,CNY,Medium,Caixin Services PMI,51.7,52.9,52.7
Wed Aug 3 2016,3:15am,EUR,Low,Spanish Services PMI,54.1,55.1,56.0
,3:45am,EUR,Low,Italian Services PMI,52.0,51.1,51.9
,3:50am,EUR,Low,French Final Services PMI,50.5,50.3,50.3
,3:55am,EUR,Low,German Final Services PMI,54.4,54.6,54.6
,4:00am,EUR,Low,Final Services PMI,52.9,52.8,52.7
,4:30am,GBP,High,Final Services PMI,47.4,47.4,47.4
,5:00am,EUR,Low,Retail Sales m/m,0.0%,0.0%,0.4%
,8:15am,USD,High,ADP Non-Farm Employment Change,179K,171K,176K
,9:45am,USD,Low,Final Services PMI,51.4,51.0,50.9
,10:00am,USD,High,ISM Services PMI,55.5,56.0,56.5
,10:30am,USD,High,Crude Oil Inventories,1.4M,-1.6M,1.7M
,9:30pm,AUD,High,Retail Sales m/m,0.1%,0.3%,0.2%
Thu Aug 4 2016,1:45am,CHF,Low,SECO Consumer Climate,-15,-16,-15
,4:00am,EUR,Low,ECB Economic Bulletin,,,
,4:10am,EUR,Low,Retail PMI,48.9,,48.5
,4:59am,EUR,Low,French 10-y Bond Auction,0.19|2.8,,0.16|2.5
,7:00am,GBP,High,BOE Monetary Policy Report,,,
,,GBP,High,MPC Official Bank Rate Votes,0-9-0,0-9-0,0-1-8
,,GBP,High,Monetary Policy Summary,,,
,,GBP,High,Official Bank Rate,0.25%,0.25%,0.50%
,,GBP,Medium,Asset Purchase Facility,435B,375B,375B
,,GBP,Low,FPC Statement,,,
,7:04am,GBP,Medium,MPC Asset Purchase Facility Votes,6-0-3,0-0-9,0-0-9
,7:30am,GBP,High,BOE Gov Carney Speaks,,,
,,USD,Low,Challenger Job Cuts y/y,-57.1%,,-14.1%
,8:30am,USD,High,Unemployment Claims,269K,265K,266K
,10:00am,USD,Medium,Factory Orders m/m,-1.5%,-1.8%,-1.2%
,10:30am,USD,Low,Natural Gas Storage,-6B,3B,17B
,7:30pm,AUD,Low,AIG Construction Index,51.6,,53.2
,8:00pm,JPY,Low,Average Cash Earnings y/y,1.3%,0.4%,-0.1%
,9:30pm,AUD,High,RBA Monetary Policy Statement,,,
Fri Aug 5 2016,1:00am,JPY,Low,Leading Indicators,98.4%,99.6%,99.7%
,2:00am,EUR,Medium,German Factory Orders m/m,-0.4%,0.5%,0.1%
,2:45am,EUR,Low,French Trade Balance,-3.4B,-3.9B,-2.7B
,3:00am,CHF,Medium,Foreign Currency Reserves,615B,,609B
,3:30am,GBP,Medium,Halifax HPI m/m,-1.0%,-0.1%,1.2%
,4:00am,EUR,Low,Italian Industrial Production m/m,-0.4%,0.3%,-0.6%
,8:30am,CAD,High,Employment Change,-31.2K,10.2K,-0.7K
,,CAD,High,Trade Balance,-3.6B,-2.6B,-3.5B
,,CAD,High,Unemployment Rate,6.9%,6.9%,6.8%
,,USD,High,Average Hourly Earnings m/m,0.3%,0.2%,0.1%
,,USD,High,Non-Farm Employment Change,255K,180K,292K
