Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Aug 11 2019,All Day,JPY,Holiday,Bank Holiday,,,
Mon Aug 12 2019,5:00am,CNY,Medium,New Loans,1060B,1275B,1660B
,,CNY,Low,M2 Money Supply y/y,8.1%,8.5%,8.5%
,2:00pm,USD,Low,Federal Budget Balance,-119.7B,-120.0B,-8.5B
,6:45pm,NZD,Low,FPI m/m,1.1%,,-0.7%
,6:50pm,AUD,Medium,RBA Assist Gov Kent Speaks,,,
,7:50pm,JPY,Low,PPI y/y,-0.6%,-0.5%,-0.1%
,9:30pm,AUD,Medium,NAB Business Confidence,4,,2
,10:11pm,CNY,Low,Foreign Direct Investment ytd/y,7.3%,,7.2%
Tue Aug 13 2019,12:30am,JPY,Low,Tertiary Industry Activity m/m,-0.1%,-0.1%,0.0%
,1:59am,JPY,Low,Prelim Machine Tool Orders y/y,-33.0%,,-37.9%
,2:00am,EUR,Low,German Final CPI m/m,0.5%,0.5%,0.5%
,,EUR,Low,German WPI m/m,-0.3%,0.2%,-0.5%
,4:30am,GBP,High,Average Earnings Index 3m/y,3.7%,3.7%,3.5%
,,GBP,Low,Claimant Count Change,28.0K,42.0K,31.4K
,,GBP,Low,Unemployment Rate,3.9%,3.8%,3.8%
,5:00am,EUR,Medium,German ZEW Economic Sentiment,-44.1,-27.8,-24.5
,,EUR,Low,ZEW Economic Sentiment,-43.6,-21.7,-20.3
,5:35am,GBP,Low,30-y Bond Auction,1.15|2.0,,1.42|1.8
,6:00am,USD,Low,NFIB Small Business Index,104.7,104.9,103.3
,8:30am,USD,High,CPI m/m,0.3%,0.3%,0.1%
,,USD,High,Core CPI m/m,0.3%,0.2%,0.3%
,9:30am,GBP,Low,CB Leading Index m/m,-0.3%,,-0.5%
,10:00am,USD,Low,Mortgage Delinquencies,4.53%,,4.42%
,7:50pm,JPY,Low,Core Machinery Orders m/m,13.9%,-1.0%,-7.8%
,8:30pm,AUD,Medium,Westpac Consumer Sentiment,3.6%,,-4.1%
,9:30pm,AUD,High,Wage Price Index q/q,0.6%,0.5%,0.5%
,10:00pm,CNY,Medium,Fixed Asset Investment ytd/y,5.7%,5.9%,5.8%
,,CNY,Medium,Industrial Production y/y,4.8%,6.0%,6.3%
,,CNY,Low,Retail Sales y/y,7.6%,8.6%,9.8%
,,CNY,Low,Unemployment Rate,5.3%,,5.1%
Wed Aug 14 2019,2:00am,EUR,Medium,German Prelim GDP q/q,-0.1%,-0.1%,0.4%
,2:45am,EUR,Low,French Final CPI m/m,-0.2%,-0.2%,-0.2%
