Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jan 28 2018,,,No specified,,,,
Mon Jan 29 2018,2:00am,EUR,Low,German Import Prices m/m,0.3%,0.3%,0.8%
,8:30am,USD,Medium,Core PCE Price Index m/m,0.2%,0.2%,0.1%
,,USD,Medium,Personal Spending m/m,0.4%,0.5%,0.8%
,,USD,Low,Personal Income m/m,0.4%,0.3%,0.3%
,4:45pm,NZD,Medium,Trade Balance,640M,-125M,-1233M
,6:30pm,JPY,Low,Household Spending y/y,-0.1%,1.6%,1.7%
,,JPY,Low,Unemployment Rate,2.8%,2.7%,2.7%
,6:50pm,JPY,Low,Retail Sales y/y,3.6%,2.1%,2.1%
,7:30pm,AUD,Medium,NAB Business Confidence,11,,7
Tue Jan 30 2018,12:00am,JPY,Low,BOJ Core CPI y/y,0.7%,0.5%,0.6%
,1:30am,EUR,Low,French Flash GDP q/q,0.6%,0.5%,0.6%
,2:00am,CHF,Low,Trade Balance,2.63B,2.54B,2.58B
,All Day,EUR,Medium,German Prelim CPI m/m,-0.7%,-0.5%,0.6%
,2:45am,EUR,Low,French Consumer Spending m/m,-1.2%,0.4%,3.0%
,3:00am,CHF,Medium,KOF Economic Barometer,106.9,110.9,111.4
,,EUR,Medium,Spanish Flash GDP q/q,0.7%,0.7%,0.8%
,4:30am,GBP,Medium,Net Lending to Individuals m/m,5.2B,4.8B,5.2B
,,GBP,Low,M4 Money Supply m/m,-0.6%,0.2%,0.2%
,,GBP,Low,Mortgage Approvals,61K,66K,65K
,5:00am,EUR,Medium,Prelim Flash GDP q/q,0.6%,0.6%,0.6%
,5:15am,EUR,Low,Italian 10-y Bond Auction,2.06|1.3,,1.86|1.8
,9:00am,USD,Low,S&P/CS Composite-20 HPI y/y,6.4%,6.3%,6.3%
,10:00am,USD,High,CB Consumer Confidence,125.4,123.2,123.1
,10:30am,GBP,High,BOE Gov Carney Speaks,,,
,6:50pm,JPY,Low,BOJ Summary of Opinions,,,
,,JPY,Low,Prelim Industrial Production m/m,2.7%,1.5%,0.5%
,7:01pm,GBP,Low,BRC Shop Price Index y/y,-0.5%,,-0.6%
,,GBP,Low,GfK Consumer Confidence,-9,-13,-13
,7:30pm,AUD,High,CPI q/q,0.6%,0.7%,0.6%
,,AUD,High,Trimmed Mean CPI q/q,0.4%,0.5%,0.4%
,,AUD,Low,Private Sector Credit m/m,0.3%,0.5%,0.5%
,7:53pm,CNY,Medium,Non-Manufacturing PMI,55.3,,55.0
,7:54pm,CNY,Medium,Manufacturing PMI,51.3,51.5,51.6
,9:00pm,USD,High,President Trump Speaks,,,
Wed Jan 31 2018,12:00am,JPY,Low,Housing Starts y/y,-2.1%,1.1%,-0.4%
,12:02am,JPY,Low,Consumer Confidence,44.7,44.9,44.7
,2:00am,CHF,Low,UBS Consumption Indicator,1.69,,1.73
,,EUR,Medium,German Retail Sales m/m,-1.9%,-0.3%,1.9%
