Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Feb 21 2021,6:50pm,JPY,Low,SPPI y/y,-0.5%,-0.4%,-0.3%
Mon Feb 22 2021,4:00am,EUR,Medium,German ifo Business Climate,92.4,90.5,90.3
,6:00am,EUR,Low,German Buba Monthly Report,,,
,9:00am,EUR,Low,Belgian NBB Business Climate,-4.4,-7.2,-7.5
,9:30am,EUR,Medium,ECB President Lagarde Speaks,,,
,10:00am,USD,Low,CB Leading Index m/m,0.5%,0.4%,0.4%
,3:30pm,USD,Low,FOMC Member Bowman Speaks,,,
,4:45pm,NZD,Medium,Retail Sales q/q,-2.7%,-0.5%,27.8%
,4:51pm,NZD,Low,Core Retail Sales q/q,-3.1%,-0.6%,23.9%
,All Day,JPY,Holiday,Bank Holiday,,,
,7:30pm,AUD,Low,Goods Trade Balance,8.75B,,9.18B
Tue Feb 23 2021,2:00am,GBP,Medium,Claimant Count Change,-20.0K,13.8K,-20.4K
,,GBP,Low,Average Earnings Index 3m/y,4.7%,4.1%,3.7%
,,GBP,Low,Unemployment Rate,5.1%,5.1%,5.0%
,2:30am,CHF,Low,PPI m/m,0.3%,0.4%,0.5%
,5:00am,EUR,Low,Final CPI y/y,0.9%,0.9%,0.9%
,,EUR,Low,Final Core CPI y/y,1.4%,1.4%,1.4%
,5:04am,GBP,Low,30-y Bond Auction,1.30|2.2,,0.84|2.4
,6:00am,GBP,Low,CBI Realized Sales,-45,-39,-50
,9:00am,USD,Low,HPI m/m,1.1%,1.0%,1.0%
,,USD,Low,S&P/CS Composite-20 HPI y/y,10.1%,9.9%,9.2%
,9:59am,USD,Low,Richmond Manufacturing Index,14,16,14
,10:00am,USD,High,Fed Chair Powell Testifies,,,
,,USD,Medium,CB Consumer Confidence,91.3,90.2,88.9
,12:30pm,CAD,High,BOC Gov Macklem Speaks,,,
,7:30pm,AUD,Low,Construction Work Done q/q,-0.9%,1.1%,-1.8%
,,AUD,Low,Wage Price Index q/q,0.6%,0.3%,0.1%
,8:00pm,NZD,High,RBNZ Monetary Policy Statement,,,
,,NZD,High,RBNZ Rate Statement,,,
,,NZD,Medium,Official Cash Rate,0.25%,0.25%,0.25%
,9:00pm,NZD,High,RBNZ Press Conference,,,
Wed Feb 24 2021,12:00am,JPY,Low,BOJ Core CPI y/y,-0.3%,-0.2%,-0.3%
,2:00am,EUR,Low,German Final GDP q/q,0.3%,0.1%,0.1%
,4:00am,CHF,Low,Credit Suisse Economic Expectations,55.5,,43.2
,5:35am,EUR,Low,German 10-y Bond Auction,-0.32|1.5,,-0.54|2.0
,7:00am,GBP,Low,MPC Member Haldane Speaks,,,
,8:30am,CAD,Low,Corporate Profits q/q,7.9%,,44.9%
,9:00am,CNY,Low,CB Leading Index m/m,1.0%,,1.2%
,9:30am,GBP,High,Monetary Policy Report Hearings,,,
,10:00am,USD,High,Fed Chair Powell Testifies,,,
,,USD,Low,New Home Sales,923K,853K,885K
,10:30am,USD,Medium,Crude Oil Inventories,1.3M,-6.5M,-7.3M
,,USD,Low,FOMC Member Brainard Speaks,,,
,1:00pm,USD,Low,FOMC Member Clarida Speaks,,,
,2:10pm,NZD,High,RBNZ Gov Orr Speaks,,,
,4:00pm,USD,Low,FOMC Member Clarida Speaks,,,
,7:00pm,NZD,Medium,ANZ Business Confidence,7.0,,11.8
,7:30pm,AUD,Medium,Private Capital Expenditure q/q,3.0%,1.1%,-3.1%
Thu Feb 25 2021,2:00am,EUR,Low,German GfK Consumer Climate,-12.9,-14.0,-15.5
,4:00am,EUR,Low,M3 Money Supply y/y,12.5%,12.6%,12.4%
,4:02am,EUR,Low,Private Loans y/y,3.0%,3.2%,3.1%
,8:30am,USD,Medium,Prelim GDP q/q,4.1%,4.2%,4.0%
,,USD,Low,Core Durable Goods Orders m/m,1.4%,0.6%,1.1%
,,USD,Low,Durable Goods Orders m/m,3.4%,0.9%,0.5%
,,USD,Low,FOMC Member Bostic Speaks,,,
,,USD,Low,Prelim GDP Price Index q/q,2.1%,2.0%,2.0%
