Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Oct 6 2019,5:30pm,AUD,Low,AIG Construction Index,42.6,,44.6
,All Day,AUD,Holiday,Bank Holiday,,,
,6:45pm,USD,Medium,FOMC Member George Speaks,,,
,All Day,CNY,Holiday,Bank Holiday,,,
Mon Oct 7 2019,1:00am,JPY,Low,Leading Indicators,91.7%,91.8%,93.7%
,2:00am,EUR,Low,German Factory Orders m/m,-0.6%,-0.4%,-2.1%
,3:00am,CHF,Low,Foreign Currency Reserves,777B,,767B
,3:30am,GBP,Low,Halifax HPI m/m,-0.4%,0.4%,0.2%
,4:30am,EUR,Low,Sentix Investor Confidence,-16.8,-12.9,-11.1
,6:40am,GBP,Low,BRC Retail Sales Monitor y/y,-1.7%,-0.8%,-0.5%
,1:00pm,USD,High,Fed Chair Powell Speaks,,,
,3:00pm,USD,Low,Consumer Credit m/m,17.9B,14.9B,23.0B
,7:30pm,JPY,Low,Average Cash Earnings y/y,-0.2%,-0.2%,-1.0%
,,JPY,Low,Household Spending y/y,1.0%,0.9%,0.8%
,7:53pm,JPY,Low,Current Account,1.72T,1.68T,1.65T
,8:30pm,AUD,Medium,NAB Business Confidence,0,,1
,,AUD,Low,ANZ Job Advertisements m/m,0.3%,,-2.6%
,9:45pm,CNY,Medium,Caixin Services PMI,51.3,52.1,52.1
Tue Oct 8 2019,12:10am,GBP,Low,BOE Gov Carney Speaks,,,
,1:02am,JPY,Low,Economy Watchers Sentiment,46.7,43.4,42.8
,1:45am,CHF,Low,Unemployment Rate,2.3%,2.1%,2.3%
,2:00am,EUR,Low,German Industrial Production m/m,0.3%,-0.2%,-0.4%
,2:45am,EUR,Low,French Trade Balance,-5.0B,-4.2B,-4.5B
,4:00am,EUR,Low,Italian Retail Sales m/m,-0.6%,-0.1%,-0.6%
,4:20am,GBP,Medium,MPC Member Haldane Speaks,,,
,5:30am,GBP,Medium,MPC Member Tenreyro Speaks,,,
,5:57am,USD,Low,NFIB Small Business Index,101.8,102.6,103.1
,8:13am,CAD,Low,Housing Starts,221K,217K,227K
,8:30am,CAD,Low,Building Permits m/m,6.1%,2.3%,3.2%
,,USD,Medium,Core PPI m/m,-0.3%,0.2%,0.3%
,,USD,Medium,PPI m/m,-0.3%,0.1%,0.1%
,10:00am,USD,Low,IBD/TIPP Economic Optimism,52.6,51.2,50.8
,1:35pm,USD,Medium,FOMC Member Evans Speaks,,,
,2:30pm,USD,High,Fed Chair Powell Speaks,,,
,7:30pm,AUD,Medium,Westpac Consumer Sentiment,-5.5%,,-1.7%
Wed Oct 9 2019,1:58am,JPY,Low,Prelim Machine Tool Orders y/y,-35.5%,,-37.0%
,4:30am,GBP,Low,FPC Meeting Minutes,,,
,,GBP,Low,FPC Statement,,,
,All Day,EUR,High,Eurogroup Meetings,,,
,10:00am,USD,Low,Final Wholesale Inventories m/m,0.2%,0.4%,0.4%
,,USD,Low,JOLTS Job Openings,7.05M,7.35M,7.17M
,10:30am,USD,High,Crude Oil Inventories,2.9M,1.8M,3.1M
,11:00am,USD,High,Fed Chair Powell Speaks,,,
,,USD,Medium,FOMC Member George Speaks,,,
,1:01pm,USD,Low,10-y Bond Auction,1.59|2.4,,1.74|2.5
,2:00pm,USD,High,FOMC Meeting Minutes,,,
,5:45pm,NZD,Low,FPI m/m,0.0%,,0.7%
,7:01pm,GBP,Low,RICS House Price Balance,-2%,-7%,-4%
,7:50pm,JPY,Low,Bank Lending y/y,2.0%,2.1%,2.1%
,,JPY,Low,Core Machinery Orders m/m,-2.4%,0.0%,-6.6%
,,JPY,Low,PPI y/y,-1.1%,-1.1%,-0.9%
,8:30pm,AUD,Low,Home Loans m/m,1.8%,3.6%,5.5%
,8:38pm,AUD,Low,MI Inflation Expectations,3.6%,,3.1%
,11:35pm,JPY,Low,30-y Bond Auction,0.38|3.9,,0.14|3.5
Thu Oct 10 2019,2:00am,EUR,Low,German Trade Balance,18.1B,19.4B,20.5B
,2:45am,EUR,Low,French Industrial Production m/m,-0.9%,0.2%,0.3%
,4:00am,EUR,Low,Italian Industrial Production m/m,0.3%,0.2%,-0.8%
,4:30am,GBP,High,GDP m/m,-0.1%,0.0%,0.4%
,,GBP,High,Manufacturing Production m/m,-0.7%,0.1%,0.4%
,,GBP,Low,Construction Output m/m,0.2%,-0.4%,1.8%
,,GBP,Low,Goods Trade Balance,-9.8B,-10.0B,-9.6B
,,GBP,Low,Index of Services 3m/3m,0.4%,0.2%,0.3%
,,GBP,Low,Industrial Production m/m,-0.6%,0.0%,0.1%
,5:20am,GBP,High,BOE Gov Carney Speaks,,,
,7:30am,EUR,High,ECB Monetary Policy Meeting Accounts,,,
,7:56am,GBP,Low,NIESR GDP Estimate,0.5%,,0.3%
,8:30am,CAD,Low,NHPI m/m,0.1%,0.0%,-0.1%
